||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.4 |           68.0 |          286.4 |          2.211 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            3.0 |           80.0 |          338.2 |          2.138 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.6 |           72.0 |          238.8 |           1.45 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.2 |           64.0 |          288.8 |          1.774 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            1.8 |           56.0 |          248.4 |          1.377 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           40.0 |          175.0 |          1.214 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            2.2 |           64.0 |          253.4 |          2.128 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |           28.0 |          170.4 |          1.137 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.0 |          100.0 |          366.4 |          2.528 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.2 |           64.0 |          342.4 |          2.342 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.4 |          108.0 |          494.8 |          3.207 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            2.2 |           64.0 |          260.6 |           2.04 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.2 |           84.0 |          406.6 |          2.136 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.2 |           84.0 |          473.8 |          2.107 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            6.0 |          140.0 |          658.4 |           3.26 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            5.6 |          132.0 |          620.4 |          2.808 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.4 |          128.0 |          654.0 |          2.894 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            5.0 |          120.0 |          602.0 |          3.053 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.2 |           44.0 |          209.2 |          1.858 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.2 |           64.0 |          367.0 |          2.899 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.0 |           60.0 |          328.0 |          2.508 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.6 |           72.0 |          386.8 |          3.023 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.0 |           80.0 |          397.4 |          2.937 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.0 |           40.0 |          193.4 |          1.657 |          100.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |            9.2 |          204.0 |         1094.4 |          7.196 |          100.0 ||
||          heart |    ml_0_cl_150 |       3361.307 |            7.2 |          164.0 |          839.4 |          6.292 |          100.0 ||
