||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          2.167 |         63.333 |          262.6 |          1.694 |          100.0 ||
||           wine |    3421827.432 |          2.567 |         71.333 |        314.667 |           2.23 |          100.0 ||
||  connectionist |        314.774 |          4.733 |        114.667 |          569.2 |           2.71 |          100.0 ||
||          seeds |        624.257 |            2.0 |           60.0 |        313.633 |           2.48 |          100.0 ||
||          heart |         3347.2 |          8.067 |        181.333 |        994.933 |           6.81 |          100.0 ||
||      vertebral |      559533.96 |            1.8 |           56.0 |        234.867 |          1.625 |          100.0 ||
||      computers |     320716.689 |          7.333 |        166.667 |       1032.767 |          12.95 |          100.0 ||
||           gene |   17808477.337 |          5.833 |        136.667 |        664.367 |        225.625 |          100.0 ||
||movement-libras |        381.828 |         19.867 |        417.333 |         1744.5 |         89.218 |          100.0 ||
||       toxicity |4925753246225918.0 |            1.2 |           44.0 |        155.433 |          0.845 |          100.0 ||
||        ECG5000 |      12734.756 |           11.9 |          258.0 |         1401.3 |         38.987 |          100.0 ||
||          ecoli |         15.627 |         13.367 |        287.333 |       1478.067 |         39.874 |          100.0 ||
||          glass |         90.755 |         11.433 |        248.667 |         1016.2 |         13.852 |          100.0 ||
||         accent |      29545.555 |         11.233 |        244.667 |         1408.7 |         28.725 |          100.0 ||
