Best,Mean,Worst
11684.491484575186,12083.09774058227,12755.611699545232
11682.657993559678,11810.604765172839,12599.183636545507
11682.657993559678,11734.950366193025,12011.059816292414
11682.657993559678,11702.712100379245,11846.38114850619
11681.866440534788,11685.343753984105,11694.10126192238
11681.603043329238,11683.780817814168,11694.10126192238
11681.603043329238,11682.855775782864,11694.10126192238
11681.603043329238,11682.702275634472,11694.10126192238
11681.603043329238,11682.482899517781,11693.673386624898
11681.603043329238,11682.426930444435,11693.673386624898
11681.603043329238,11682.06052486284,11686.786976720694
