||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.8 |           56.0 |          339.0 |          2.558 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            3.8 |           76.0 |          409.6 |          2.608 |           60.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            3.2 |           64.0 |          309.0 |          1.857 |           80.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            3.0 |           60.0 |          362.6 |           2.24 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.4 |           48.0 |          320.4 |          1.799 |           80.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.2 |           24.0 |          217.0 |          1.496 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.8 |           36.0 |          274.4 |          2.233 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.6 |           12.0 |          220.0 |          1.449 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.8 |           96.0 |          459.4 |          3.143 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.6 |           52.0 |          412.2 |          2.804 |           80.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            5.0 |          100.0 |          573.8 |          3.697 |           40.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            2.0 |           40.0 |          288.4 |          2.238 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            4.6 |           92.0 |          529.6 |          2.745 |           60.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            4.2 |           84.0 |          618.0 |           2.75 |           60.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            6.2 |          124.0 |          742.6 |          3.693 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            5.8 |          116.0 |          717.0 |          3.228 |           20.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.2 |          104.0 |          716.6 |          3.177 |           40.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            5.4 |          108.0 |          677.0 |          3.395 |           40.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            2.2 |           44.0 |          291.2 |          2.605 |           80.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           52.0 |          409.0 |          3.246 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            2.2 |           44.0 |          362.4 |          2.771 |           80.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            3.0 |           60.0 |          414.6 |          3.254 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            2.8 |           56.0 |          420.8 |          3.078 |           60.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            1.2 |           24.0 |          238.0 |          2.033 |           80.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            0.8 |           16.0 |          188.0 |          1.202 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          127.2 |          0.869 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            4.4 |           88.0 |          512.0 |          3.419 |           60.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            3.2 |           64.0 |          407.0 |          2.953 |           80.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            1.0 |           20.0 |          214.0 |          1.364 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            1.8 |           36.0 |          247.6 |          1.847 |           80.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            6.4 |          128.0 |          916.2 |          11.18 |           20.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            6.2 |          124.0 |          818.4 |         11.285 |           20.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            7.0 |          140.0 |          920.8 |         12.268 |            0.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            7.2 |          144.0 |         1242.2 |         15.018 |           20.0 ||
||      computers |    ml_250_cl_0 |     323038.188 |            8.0 |          160.0 |         1102.0 |         13.963 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |            6.6 |          132.0 |          954.6 |         11.928 |            0.0 ||
||movement-libras |    ml_0_cl_100 |        310.666 |           15.2 |          304.0 |         1692.6 |         84.275 |            0.0 ||
||movement-libras |    ml_0_cl_150 |        313.942 |           14.6 |          292.0 |         1671.4 |         92.699 |            0.0 ||
||movement-libras |    ml_100_cl_0 |        416.743 |           14.2 |          284.0 |         1449.6 |         66.098 |            0.0 ||
||movement-libras |    ml_150_cl_0 |        479.882 |           15.8 |          316.0 |         1468.6 |         70.164 |            0.0 ||
||movement-libras |    ml_50_cl_50 |        371.788 |           15.6 |          312.0 |         1629.8 |         80.128 |            0.0 ||
||movement-libras |    ml_75_cl_75 |        396.882 |           16.6 |          332.0 |         1667.8 |         89.618 |            0.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |            0.0 |          119.2 |          0.639 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |            0.0 |          120.6 |          0.567 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            2.2 |           44.0 |          261.6 |          1.499 |          100.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            3.8 |           76.0 |          311.4 |          1.747 |           60.0 ||
||       toxicity |     ml_50_cl_0 |3624350034858881.5 |            0.8 |           16.0 |          220.8 |          1.059 |          100.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            2.4 |           48.0 |          246.6 |          1.456 |           60.0 ||
||        ECG5000 |    ml_0_cl_150 |      11667.772 |            9.8 |          196.0 |         1342.8 |         36.451 |            0.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |           10.2 |          204.0 |         1341.4 |         41.108 |            0.0 ||
||        ECG5000 |  ml_125_cl_125 |      13000.498 |            9.0 |          180.0 |         1346.2 |         39.265 |            0.0 ||
||        ECG5000 |    ml_150_cl_0 |      13233.816 |            9.8 |          196.0 |         1343.4 |         33.055 |            0.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.704 |            8.4 |          168.0 |         1051.4 |         27.693 |            0.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.297 |            9.4 |          188.0 |         1322.0 |         35.109 |            0.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |            9.8 |          196.0 |         1550.6 |         40.927 |            0.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |           10.4 |          208.0 |         1604.4 |          47.38 |            0.0 ||
||          ecoli |    ml_100_cl_0 |         16.748 |            9.8 |          196.0 |         1322.0 |         31.521 |            0.0 ||
||          ecoli |    ml_150_cl_0 |         17.238 |           10.8 |          216.0 |         1228.2 |         31.708 |            0.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |            9.8 |          196.0 |         1365.2 |         35.011 |            0.0 ||
||          ecoli |    ml_75_cl_75 |         16.315 |            9.8 |          196.0 |         1415.0 |         39.504 |            0.0 ||
||          glass |    ml_0_cl_100 |         77.574 |            8.4 |          168.0 |          858.8 |         13.442 |           20.0 ||
||          glass |     ml_0_cl_50 |         76.116 |            7.6 |          152.0 |          820.0 |         10.878 |            0.0 ||
||          glass |    ml_100_cl_0 |        110.639 |            9.4 |          188.0 |          942.8 |         12.245 |            0.0 ||
||          glass |    ml_25_cl_25 |         84.109 |            7.4 |          148.0 |          866.2 |         11.059 |            0.0 ||
||          glass |     ml_50_cl_0 |          96.86 |            8.8 |          176.0 |         1044.6 |         12.381 |            0.0 ||
||          glass |    ml_50_cl_50 |         99.439 |            8.8 |          176.0 |          936.2 |         13.559 |            0.0 ||
