||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          2.733 |         54.667 |        326.267 |          2.093 |         86.667 ||
||           wine |    3421827.432 |            2.8 |           56.0 |        371.367 |          2.594 |         73.333 ||
||  connectionist |        314.774 |          5.233 |        104.667 |          666.8 |          3.165 |           40.0 ||
||          seeds |        624.257 |          2.333 |         46.667 |          356.0 |          2.831 |         83.333 ||
||      vertebral |      559533.96 |          1.867 |         37.333 |        282.633 |          1.942 |         86.667 ||
||      computers |     320716.486 |            6.9 |          138.0 |        992.367 |         12.607 |           10.0 ||
||movement-libras |        381.651 |         15.333 |        306.667 |       1596.633 |         80.497 |            0.0 ||
||       toxicity |4925753246225918.0 |          1.533 |         30.667 |        213.367 |          1.161 |         86.667 ||
||        ECG5000 |       12734.92 |          9.433 |        188.667 |         1291.2 |         35.447 |            0.0 ||
||          ecoli |         15.625 |         10.067 |        201.333 |       1414.233 |         37.675 |            0.0 ||
||          glass |         90.789 |            8.4 |          168.0 |        911.433 |         12.261 |          3.333 ||
