Best,Mean,Worst,Diversity
11691.064966227008,12004.933360843255,13009.790788242624,66798.89271984107
11691.064966227008,11803.451461287483,12410.123352390405,30868.336957330328
11690.922719950777,11702.742260158888,11869.401131587003,3861.111322996274
11690.922719950777,11692.97326891272,11701.684690654336,524.1542411332703
11690.581196492858,11691.786061925428,11695.838666425674,290.18186062442874
11690.52890431655,11691.15298409056,11695.028072448622,159.03547380372765
11690.520423837737,11690.673718132302,11690.94712451718,32.485399037648676
11690.520423837737,11690.65068038587,11690.922719950777,29.113999185176
11690.473557411975,11690.577702530156,11690.852446110664,20.225681306557817
11690.473557411975,11690.546031394226,11690.677692445272,11.07202372349093
11690.473557411975,11690.51984516096,11690.61111998935,10.667008229967905
11690.473557411975,11690.517501839673,11690.61111998935,10.713874655730251
