Best,Mean,Worst,Diversity
30813.666504145156,31271.439091141066,31749.31508137047,79296.34803295245
30685.85917539252,31020.57071781785,31542.154762089856,57405.77135096962
30668.479734384837,30873.19716070636,31489.903165569638,40427.34329285566
30653.44675843816,30783.870610509523,31184.294334927356,28140.32696698253
30653.44675843816,30716.314640338776,30933.438993325704,14892.377399064222
30653.44675843816,30672.367331771977,30722.646997034,4218.445430444517
30653.211964933893,30661.06771788607,30722.646997034,2280.629822314444
30652.191404701436,30656.70198099166,30708.253275129653,1441.923362466583
30652.191404701436,30654.318195027307,30683.584891845556,719.677015028712
30652.191404701436,30652.34570413374,30654.433911017986,56.94681961550668
30652.191404701436,30652.191404701436,30652.191404701436,0.0
