Best,Mean,Worst,Diversity
35264.45743010024,35669.256651568016,36276.95856460661,67087.46171498872
35249.594394151354,35502.38800028164,36011.40495107297,43506.17693900555
35249.594394151354,35409.68612551933,35783.321281490425,27498.54613089801
35243.32791799675,35345.73579083068,35574.87195444107,19241.671485134837
35242.446860515,35312.147457962,35574.87195444107,16077.234482036969
35238.82901148971,35267.58342296163,35332.90970974882,6211.075424143739
35238.795843646796,35253.61462583802,35332.90970974882,4204.571026329926
35238.795843646796,35245.26881299104,35273.93558728163,1812.33587830358
35238.795843646796,35239.51349873563,35242.449207876925,213.52640337526827
35238.795843646796,35238.80752733162,35239.02693143164,4.434628413291648
35238.795843646796,35238.79584364679,35238.795843646796,0.0
