||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.0 |           40.0 |          288.2 |          2.169 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.2 |           44.0 |          316.8 |          1.964 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.2 |           44.0 |          248.8 |          1.495 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.0 |           40.0 |          295.0 |          1.822 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.0 |           40.0 |          285.6 |          1.607 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            0.8 |           16.0 |          189.8 |          1.318 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.2 |           24.0 |          240.2 |          1.932 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |            8.0 |          207.4 |          1.355 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            3.2 |           64.0 |          367.2 |          2.513 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            1.4 |           28.0 |          328.6 |          2.207 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.2 |           84.0 |          514.6 |          3.297 |           80.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.2 |           24.0 |          245.8 |          1.882 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.0 |           60.0 |          448.0 |          2.303 |           60.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            2.8 |           56.0 |          511.8 |          2.236 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            4.2 |           84.0 |          629.2 |          3.067 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            4.0 |           80.0 |          595.4 |          2.641 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            4.2 |           84.0 |          664.8 |          2.922 |           20.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            3.4 |           68.0 |          548.8 |          2.744 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.4 |           28.0 |          258.8 |          2.285 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.6 |           52.0 |          411.6 |          3.251 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            1.8 |           36.0 |          333.8 |          2.551 |           80.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            3.0 |           60.0 |          427.2 |          3.357 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            2.4 |           48.0 |          398.2 |          2.908 |           60.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            0.8 |           16.0 |          217.4 |          1.846 |           80.0 ||
