Best,Mean,Worst,Diversity
26901.65835332941,27773.395233066403,28469.682060334475,113129.29660700276
26893.1613669132,27547.32777818273,28240.472217413742,98627.34744523665
26890.40759864488,27262.468733285386,27941.87279183349,78647.44123284108
26839.865274154134,27002.96054989243,27586.188057604362,37999.22441519252
26837.370313278672,26970.964997095394,27586.188057604362,33350.41179442211
26837.370313278672,26891.132600253834,27111.951376162546,11238.818846490096
26835.90262117413,26879.63033670539,27111.951376162546,10289.431447058534
26835.90262117413,26870.442678221578,27111.951376162546,9415.090226284483
26835.90262117413,26866.004296731546,27111.951376162546,8907.158088259243
26835.90262117413,26862.861937597056,27111.951376162546,8435.949546195152
26835.90262117413,26861.77882838102,27111.951376162546,8331.948822792689
26835.90262117413,26861.724573148822,27111.951376162546,8338.318723946086
