Best,Mean,Worst
316782.67355996196,317523.9317914152,318703.97088212497
316782.67355996196,317197.10289833276,318703.97088212497
316782.67355996196,316847.6927707396,317008.20345581457
316778.32293888927,316814.7793226853,316949.5348496754
316777.1984625625,316808.82711292885,316948.5845861392
316777.1984625625,316802.029885353,316948.5845861392
316777.1984625625,316797.2091112352,316948.5845861392
316777.1984625625,316794.3565610372,316909.85843230237
316777.1984625625,316787.1817838141,316853.5663146254
316777.1984625625,316782.776737073,316835.30766934494
