Best,Mean,Worst,Diversity
28697.574242959632,29864.313235956848,30809.371062194947,136254.45396298435
28697.574242959632,29466.96325030785,30329.679877730458,69874.6523434768
28696.00751809123,29158.765577445774,29573.66832355702,65777.55609849305
28696.00751809123,28881.467512151674,29453.70056065795,45351.27944035582
28695.283024520366,28775.06435405133,29238.024171237405,21213.59117205533
28695.283024520366,28705.933930832172,28763.56291785882,3070.988899226719
28695.283024520366,28704.110734384845,28763.56291785882,2795.7739043332404
28695.283024520366,29884.112271821206,30704.90056928335,132750.07593367036
28695.283024520366,29468.32015609391,30437.914505978748,105668.09573261795
28695.283024520366,29212.053275533915,29985.25049796617,85491.05022359785
28695.283024520366,29089.21003370046,29638.1801024114,73267.939738963
28695.283024520366,29897.743878514146,30747.83374360177,120884.7492852227
28695.283024520366,29434.30112819674,30512.456866945337,77308.95595228151
28695.219057745886,29094.60696296098,30005.282442445292,84997.04863641909
28695.219057745886,28948.192696889593,29498.824280713114,62996.295373733024
28695.219057745886,28807.79862167713,29498.824280713114,32507.836089271615
28695.219057745886,29793.21646893331,30493.820037378053,97248.84060178703
28695.219057745886,29433.694867629576,29968.047164498334,62036.9670242969
28695.219057745886,29162.898426911277,29668.43433331299,84511.92017862161
28695.219057745886,28951.24035335213,29668.43433331299,71107.96698782117
28695.219057745886,30044.993792736157,31058.42971536168,142640.99716408926
28695.219057745886,29388.78938469934,30495.251826359192,109560.95614110352
28695.219057745886,28961.02372171898,29498.824280713114,66882.91036634642
28695.219057745886,28873.161919019836,29498.379315322185,52435.53143056154
