Best,Mean,Worst,Diversity
17801949.109766018,18735355.70175057,22059538.568633232,242512284.2465739
17801949.109766018,18128781.968411174,19520318.024813958,105203629.18002704
17801949.109766018,17802139.614228196,17803056.554484483,42428.54325181618
17801949.109766018,17802128.77299788,17803056.554484483,43079.01707082614
17801949.109766018,18907061.501332216,21573937.92641796,272366683.7091952
17801949.109766018,18325487.744232975,19470242.37716427,132602028.15927123
17801949.109766018,17942618.52023132,19470242.37716427,51107190.60963412
17801949.109766018,17885630.969641514,19470242.37716427,31752913.259521697
17801949.109766018,18310802.12482547,20558638.66068438,150707182.345244
17801949.109766018,18097171.31731289,19405507.62964719,95750489.69221486
17801949.109766018,17959780.520240717,19377033.454546046,56743447.38684296
17801949.109766018,17802106.824564405,17802265.791580893,25255.810329515487
17801949.109766018,18673839.42824446,20539385.872522235,217014847.0991366
17801949.109766018,18284587.92991436,20539385.872522235,153545853.13660032
17801949.109766018,17802233.62449781,17803056.554484483,67549.237900123
17801949.109766018,17802127.87288639,17803056.554484483,42880.99254201725
17801949.109766018,18193751.1912738,20166512.448501058,123420555.10593492
17801949.109766018,17948271.73231042,19323374.348435268,52738512.58777115
17801949.109766018,17872138.349659648,19201805.958956536,26633041.220950834
17801949.109766018,17802046.725440897,17802265.791580893,24680.05516409129
