||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            2.6 |           72.0 |          348.6 |         12.132 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            2.2 |           64.0 |          350.6 |         10.466 |           60.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.0 |           60.0 |          249.8 |          7.927 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.0 |           60.0 |          338.4 |          10.03 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            2.4 |           68.0 |          323.2 |          8.832 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.0 |           40.0 |          210.8 |          6.936 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            1.2 |           44.0 |          244.2 |         10.101 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |           28.0 |          194.0 |           7.05 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            3.8 |           96.0 |          401.0 |         13.417 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.0 |           60.0 |          363.6 |         12.587 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            3.4 |           88.0 |          506.0 |         15.779 |           40.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.2 |           44.0 |          237.0 |           9.78 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.0 |           80.0 |          459.0 |         11.362 |           60.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            2.8 |           76.0 |          532.6 |         11.168 |           80.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            4.0 |          100.0 |          630.4 |         14.932 |            0.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            3.4 |           88.0 |          572.8 |         13.183 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            4.0 |          100.0 |          662.2 |         13.921 |           20.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            3.6 |           92.0 |          586.2 |         14.171 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.4 |           48.0 |          262.0 |         11.369 |           80.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.4 |           68.0 |          409.4 |         15.627 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            1.4 |           48.0 |          301.4 |         11.841 |           80.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.6 |           72.0 |          419.2 |         15.399 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            2.4 |           68.0 |          401.4 |         14.319 |           80.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            0.8 |           36.0 |          218.8 |          9.119 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            0.8 |           36.0 |          184.0 |          5.744 |           80.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |           20.0 |          127.0 |          4.228 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            2.6 |           72.0 |          390.8 |         13.138 |           80.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            2.6 |           72.0 |          357.4 |         12.265 |           80.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            0.8 |           36.0 |          201.0 |          6.121 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            0.8 |           36.0 |          187.2 |          6.875 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |            4.0 |          100.0 |          802.4 |         48.324 |            0.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |            4.0 |          100.0 |          687.2 |         49.536 |            0.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |            4.0 |          100.0 |          755.0 |         51.119 |           20.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |            4.0 |          100.0 |         1035.0 |          62.03 |           20.0 ||
||      computers |    ml_250_cl_0 |     323038.188 |            4.0 |          100.0 |          809.0 |         55.855 |            0.0 ||
