Best,Mean,Worst
13138.427033185153,13421.72401544682,14186.143450916523
13138.427033185153,13314.686373093471,14186.143450916523
13138.427033185153,13203.855181435178,13396.215274286938
13135.354572691627,13162.675566268186,13247.134411463394
13134.070126928285,13146.373995046815,13227.689473916007
13133.908464183372,13137.486707889508,13148.086307992871
13133.908464183372,13135.257509187784,13139.567354713276
13132.334615568441,13134.096891382069,13135.93718813447
13132.334615568441,13134.017895949486,13135.93718813447
13132.334615568441,13133.855778712541,13135.93718813447
13132.125113953236,13133.661277415036,13135.93718813447
13132.125113953236,13133.309169654738,13134.070126928285
13132.125113953236,13132.65730438281,13133.908464183372
13132.010774962853,13132.299342472794,13133.028470419613
13132.010774962853,13132.222220565853,13132.870127255572
13132.010774962853,13132.136932260153,13132.448954558822
13132.010774962853,13132.076922270277,13132.448954558822
13132.010774962853,13573.437472138005,13999.02197857297
13132.010774962853,13292.345023067512,13999.02197857297
13132.010774962853,13168.127354974418,13424.356426973414
13132.010774962853,13139.923118297715,13161.178590659725
13132.010774962853,13137.325168282507,13146.712702428313
13132.010774962853,13374.22729936865,13955.463764858612
13132.010774962853,13230.315572304788,13394.909364448808
13132.010774962853,13188.478178857065,13304.892205181743
13132.010774962853,13163.628073819102,13279.696926792187
13132.010774962853,13143.047110476273,13172.353400312295
