Best,Mean,Worst,Diversity
317558.1012020733,318559.903250023,321590.4874021014,297772.82495729416
317558.1012020733,317572.2053368066,317597.78354025324,1976.630284062412
317551.0004618357,317567.8087601416,317580.86198180885,1639.1659817993059
317551.0004618357,317558.99873250467,317574.70172957616,1647.6226974737947
317551.0004618357,317557.60840332217,317569.8847556313,1479.1038672744762
317551.0004618357,317554.1118424359,317569.4875251074,925.6694629535195
317551.0004618357,317765.82780090586,321430.10437948816,75477.1504204396
317551.0004618357,317570.67162800825,317585.80602580094,2085.679423970345
317551.0004618357,317562.70978590887,317574.70172957616,1214.2868614612962
317551.0004618357,317561.77766998706,317573.0011830061,1267.732325688121
317551.0004618357,317556.1879961416,317561.99435678154,1051.386621501937
317551.0004618357,318377.61718329217,321681.07955367584,259322.28910849208
317551.0004618357,317968.4979740336,321584.2024538083,144135.43852395698
317551.0004618357,317566.26480589056,317579.47245867713,1881.8745849978295
317551.0004618357,317559.05728116643,317573.70174350834,1863.6883220848395
317551.0004618357,317556.2014382869,317573.0733211016,1483.1095239150454
