Best,Mean,Worst,Diversity
17803088.70870046,18523893.124762308,20567158.32377004,176296020.934774
17803088.70870046,18045494.113132566,19452043.7380212,82474072.66821925
17803088.70870046,17803237.02754086,17803668.66288129,42936.108334671706
17803088.70870046,17803168.256121363,17803668.66288129,26912.911299660802
17803088.70870046,17803128.482410915,17803668.66288129,14682.969915281981
17803088.70870046,18475332.210552048,21116410.78434753,180657171.5780098
17803088.70870046,17858203.888597067,18900901.587310422,20903963.245625973
17803088.70870046,17803215.475538034,17803668.66288129,39487.78788335249
17803088.70870046,17803128.482410915,17803668.66288129,14682.969915281981
17803088.70870046,17803099.48470187,17803304.228728667,4094.880535941571
17803088.70870046,18376889.80904958,19592535.039641846,150642523.79411414
17803088.70870046,18205266.57142458,19452742.053024653,120843984.07458511
17803088.70870046,17803287.577252723,17803668.66288129,48884.5642673783
17803088.70870046,17803128.482410915,17803668.66288129,14682.969915281981
17803088.70870046,17803099.48470187,17803304.228728667,4094.880535941571
