||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.2 |           84.0 |          769.4 |          6.219 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.6 |           32.0 |          654.8 |          4.298 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |           10.4 |          208.0 |         1167.2 |          7.982 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            6.4 |          128.0 |         1162.4 |          7.885 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           10.8 |          216.0 |         1498.8 |          9.556 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            4.2 |           84.0 |          794.4 |          6.075 |           80.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           13.0 |          260.0 |         2566.4 |         31.212 |            0.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |           12.6 |          252.0 |         2195.2 |         28.897 |            0.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |           12.8 |          256.0 |         2329.4 |         31.106 |            0.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |           13.6 |          272.0 |         3277.8 |         38.776 |           20.0 ||
||      computers |    ml_250_cl_0 |     323038.188 |           14.8 |          296.0 |         2756.4 |         35.875 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.242 |           12.0 |          240.0 |         2542.0 |         29.744 |            0.0 ||
||movement-libras |    ml_0_cl_100 |        310.879 |           23.8 |          476.0 |         3394.4 |        165.717 |           20.0 ||
||movement-libras |    ml_0_cl_150 |        314.211 |           24.4 |          488.0 |         3543.2 |        192.335 |            0.0 ||
||movement-libras |    ml_100_cl_0 |        417.088 |           20.4 |          408.0 |         2910.2 |        128.876 |            0.0 ||
||movement-libras |    ml_150_cl_0 |        479.459 |           23.2 |          464.0 |         2830.8 |        132.143 |            0.0 ||
||movement-libras |    ml_50_cl_50 |        371.836 |           22.2 |          444.0 |         3196.2 |        153.584 |            0.0 ||
||movement-libras |    ml_75_cl_75 |        397.005 |           22.8 |          456.0 |         3199.2 |        166.957 |            0.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |            0.0 |          352.8 |          1.884 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |            0.0 |          356.0 |          1.641 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            5.0 |          100.0 |          689.8 |          3.878 |           60.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            7.8 |          156.0 |          755.6 |          4.078 |          100.0 ||
||       toxicity |     ml_50_cl_0 |3325353606287723.0 |            5.4 |          108.0 |          796.4 |          4.033 |           60.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            4.8 |           96.0 |          613.8 |          3.536 |           60.0 ||
||        ECG5000 |    ml_0_cl_150 |      11667.772 |           16.4 |          328.0 |         3555.2 |         93.241 |            0.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |           15.0 |          300.0 |         3477.8 |          104.3 |            0.0 ||
||        ECG5000 |  ml_125_cl_125 |      13000.085 |           18.6 |          372.0 |         3193.4 |         92.646 |            0.0 ||
||        ECG5000 |    ml_150_cl_0 |      13233.816 |           15.0 |          300.0 |         2950.8 |         71.311 |            0.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.143 |           15.4 |          308.0 |         2551.4 |          66.78 |            0.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.297 |           16.8 |          336.0 |         3365.8 |         86.969 |            0.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |           16.8 |          336.0 |         3406.8 |         87.602 |            0.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |           16.6 |          332.0 |         3391.8 |         98.902 |            0.0 ||
||          ecoli |    ml_100_cl_0 |         16.752 |           16.4 |          328.0 |         2820.2 |         66.478 |            0.0 ||
||          ecoli |    ml_150_cl_0 |         17.225 |           18.2 |          364.0 |         2496.6 |         63.215 |            0.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |           16.6 |          332.0 |         3086.2 |          78.29 |            0.0 ||
||          ecoli |    ml_75_cl_75 |         16.315 |           18.4 |          368.0 |         3120.8 |         86.674 |            0.0 ||
||          glass |    ml_0_cl_100 |         77.574 |           14.2 |          284.0 |         2107.6 |         31.926 |            0.0 ||
||          glass |     ml_0_cl_50 |         76.116 |           15.2 |          304.0 |         2166.4 |         28.035 |            0.0 ||
||          glass |    ml_100_cl_0 |        110.453 |           17.4 |          348.0 |         2036.6 |         26.291 |            0.0 ||
||          glass |    ml_25_cl_25 |         84.109 |           16.0 |          320.0 |         2254.2 |         28.293 |            0.0 ||
||          glass |     ml_50_cl_0 |         96.674 |           17.4 |          348.0 |         2468.8 |         28.828 |            0.0 ||
||          glass |    ml_50_cl_50 |         99.397 |           16.4 |          328.0 |         2300.8 |         32.532 |            0.0 ||
