Best,Mean,Worst
5120562347357460.0,5120562348422037.0,5120562349293053.0
5120562347357460.0,5120562348228477.0,5120562349293053.0
5120562347357460.0,5120562347744578.0,5120562349293053.0
5120562347357460.0,5120562347551018.0,5120562349293053.0
5120562347357460.0,5120562347454238.0,5120562349293053.0
5120562347357460.0,5120562348131697.0,5120562349293053.0
5120562347357460.0,5120562347841358.0,5120562349293053.0
5120562347357460.0,5120562347454238.0,5120562349293053.0
5120562347357460.0,5120562347454238.0,5120562349293053.0
5120562347357460.0,5120562347357458.0,5120562347357460.0
5120562347357460.0,5120562348422037.0,5120562349293053.0
5120562347357460.0,5120562347841358.0,5120562349293053.0
5120562347357460.0,5120562347647798.0,5120562349293053.0
5120562347357460.0,5120562347454238.0,5120562349293053.0
5120562347357460.0,5120562347357458.0,5120562347357460.0
