Best,Mean,Worst
4430597.41103896,4685985.128226914,4999435.295997034
4430597.41103896,4600641.239217738,4963820.903048273
4430597.41103896,4448966.388627185,4797976.962803446
4430597.41103896,4430597.41103896,4430597.41103896
4430597.41103896,4741803.044465664,4999435.295997034
4430597.41103896,4563636.745509559,4963820.903048273
4430597.41103896,4492049.958849828,4924889.263727326
4430597.41103896,4430597.41103896,4430597.41103896
4430597.41103896,4745543.634558978,4999435.295997034
4430597.41103896,4670552.3363686595,4999435.295997034
4430597.41103896,4492049.958849828,4924889.263727326
4430597.41103896,4448966.388627185,4797976.962803446
4430597.41103896,4430597.41103896,4430597.41103896
