Best,Mean,Worst
14247.703061928267,14575.353732675536,15235.5013099461
14247.336860530455,14404.890665446797,14930.43926278188
14235.109417245418,14320.405592937565,14724.744331328078
14234.412909538221,14276.6863527982,14639.166653475393
14234.412909538221,14249.307920269424,14298.574271023706
14234.412909538221,14243.004135546944,14294.970988790632
14234.412909538221,14237.909323635671,14244.126001132474
14234.412909538221,14718.825623751205,15236.643682482385
14234.412909538221,14430.05317367784,15097.205404998655
14234.412909538221,14362.629394054873,14969.18960615696
14234.412909538221,14277.872367745842,14725.828939303245
14234.314093012354,14240.613161131661,14251.812386794814
14234.314093012354,14237.02477912109,14249.747592382691
14234.291321107161,14234.80743357512,14236.778448092826
14234.291321107161,14234.435129963396,14235.546648237827
14234.291321107161,14234.331079836755,14234.752231216124
14234.291321107161,14234.293598297681,14234.314093012354
14234.291321107161,14607.561931117005,15173.275902300591
14234.291321107161,14489.961057631746,15103.826733206766
14234.291321107161,14299.017058116127,14946.10970486371
14234.291321107161,14250.880716087722,14388.520733009702
14234.291321107161,14239.464803606796,14250.945495938608
