Best,Mean,Worst,Diversity
18969.874217700235,20224.19665902833,21382.197106763673,233755.76166658927
18969.874217700235,19538.350558984974,21369.695812473667,165601.0732856365
18968.345026633924,19096.44426729698,20237.00225565634,39363.11959413923
18966.334835688445,18985.053477961672,19044.33737589814,4436.923630209767
18966.334835688445,18981.61700132244,19044.33737589814,3846.5233243506664
18965.455080803724,18971.19528713203,18996.193770360198,1064.651372384862
18965.455080803724,18968.449636968493,18970.117492587196,304.9657806305149
18965.455080803724,18967.705537326114,18970.117492587196,344.3668827965412
18965.455080803724,18966.583302913816,18968.626893263125,228.7515216654865
18965.455080803724,20857.998876099788,21621.484737327155,173731.95417264214
18965.455080803724,19718.89857288188,21401.655174810086,188434.50859226286
18965.455080803724,19160.920102738048,21157.129318721334,57681.54075520037
18965.455080803724,19010.03441073416,19390.273496946327,13239.49338472966
18965.455080803724,18969.37359709537,18974.074143295213,578.4063252922642
18965.455080803724,20454.949083730673,21660.068502762217,243932.25513992662
18965.455080803724,19891.96994559683,21486.932231446088,219300.5297876312
18965.455080803724,19644.595704869957,21317.069566092337,185092.695816769
18965.455080803724,19637.796918409545,21315.546382036773,183238.0167746142
18965.455080803724,19027.47845697917,19286.510362526453,18071.27678576239
