Best,Mean,Worst
315571.8696629242,315605.28463991,315825.1010327897
315571.8696629242,315584.3031033993,315679.50476355996
315571.8696629242,315577.9345475791,315672.2932258803
315571.8696629242,315572.28714552696,315576.04448895314
315571.8696629242,315571.8696629241,315571.8696629242
315571.8696629242,315597.5626512547,315657.30216122256
315571.8696629242,315577.1849943463,315657.30216122256
315571.8696629242,315572.28714552696,315576.04448895314
315571.8696629242,315571.8696629241,315571.8696629242
315571.8696629242,315596.99779753084,315696.7105046186
315571.8696629242,315581.6653605626,315657.30216122256
315571.8696629242,315572.70462812984,315576.04448895314
315571.8696629242,315572.0784042255,315576.04448895314
315571.8696629242,315571.8696629241,315571.8696629242
