||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.0 |           84.0 |          802.0 |           6.29 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.8 |           37.8 |          689.0 |          4.486 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            9.8 |          205.8 |         1205.6 |          7.679 |           40.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            5.4 |          113.4 |         1122.6 |          7.324 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            9.6 |          201.6 |         1478.8 |          9.047 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            3.8 |           79.8 |          794.8 |          5.857 |           80.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           12.6 |          264.6 |         2550.8 |         29.918 |            0.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |           12.8 |          268.8 |         2313.2 |         31.396 |            0.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |           13.2 |          277.2 |         2480.8 |         32.694 |           20.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |           13.4 |          281.4 |         3376.2 |         39.786 |           20.0 ||
||      computers |    ml_250_cl_0 |     323038.188 |           14.4 |          302.4 |         2816.4 |         34.815 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |           12.2 |          256.2 |         2583.4 |         29.332 |           20.0 ||
||movement-libras |    ml_0_cl_100 |        310.612 |           21.0 |          441.0 |         3493.8 |        165.652 |            0.0 ||
||movement-libras |    ml_0_cl_150 |        314.135 |           21.4 |          449.4 |         3474.0 |         184.29 |            0.0 ||
||movement-libras |    ml_100_cl_0 |        416.757 |           22.2 |          466.2 |         3305.6 |        142.748 |            0.0 ||
||movement-libras |    ml_150_cl_0 |        479.656 |           22.6 |          474.6 |         3081.8 |        137.839 |            0.0 ||
||movement-libras |    ml_50_cl_50 |        371.898 |           24.2 |          508.2 |         3583.6 |        167.672 |            0.0 ||
||movement-libras |    ml_75_cl_75 |        396.927 |           26.0 |          546.0 |         3571.6 |        180.122 |            0.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |            0.0 |          352.8 |          1.881 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |            0.0 |          356.0 |          1.625 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            5.4 |          113.4 |          767.4 |          4.164 |           80.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            8.4 |          176.4 |          879.4 |          4.555 |           80.0 ||
||       toxicity |     ml_50_cl_0 |3325353606287723.0 |            5.6 |          117.6 |          847.4 |           4.21 |          100.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            4.4 |           92.4 |          641.0 |           3.57 |           80.0 ||
||        ECG5000 |    ml_0_cl_150 |      11667.884 |           16.6 |          348.6 |         3702.8 |         95.572 |            0.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |           15.8 |          331.8 |         3677.0 |        108.501 |            0.0 ||
||        ECG5000 |  ml_125_cl_125 |      12999.633 |           17.8 |          373.8 |         3307.6 |         93.174 |            0.0 ||
||        ECG5000 |    ml_150_cl_0 |      13233.816 |           15.0 |          315.0 |         3156.2 |          74.37 |            0.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.048 |           16.4 |          344.4 |         2772.4 |         69.457 |            0.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.306 |           15.4 |          323.4 |         3407.2 |         86.934 |            0.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |           15.6 |          327.6 |         3442.8 |         87.064 |            0.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |           16.0 |          336.0 |         3437.2 |         97.864 |            0.0 ||
||          ecoli |    ml_100_cl_0 |         16.748 |           18.0 |          378.0 |         3096.6 |         70.854 |            0.0 ||
||          ecoli |    ml_150_cl_0 |         17.225 |           16.4 |          344.4 |         2545.8 |          61.95 |            0.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |           15.2 |          319.2 |         3062.4 |         75.831 |            0.0 ||
||          ecoli |    ml_75_cl_75 |         16.317 |           17.6 |          369.6 |         3110.0 |         83.806 |            0.0 ||
||          glass |    ml_0_cl_100 |         77.574 |           14.4 |          302.4 |         2317.8 |         34.042 |            0.0 ||
||          glass |     ml_0_cl_50 |         76.116 |           15.0 |          315.0 |         2354.6 |         29.567 |            0.0 ||
||          glass |    ml_100_cl_0 |        110.453 |           18.8 |          394.8 |         2407.4 |          29.44 |            0.0 ||
||          glass |    ml_25_cl_25 |         84.041 |           15.6 |          327.6 |         2484.8 |         30.258 |            0.0 ||
||          glass |     ml_50_cl_0 |         96.676 |           21.6 |          453.6 |         2909.4 |         33.122 |            0.0 ||
||          glass |    ml_50_cl_50 |         99.441 |           16.2 |          340.2 |         2490.0 |          33.92 |            0.0 ||
