Best,Mean,Worst
3640836.09591534,3667865.987051071,3758138.000079768
3640836.09591534,3646701.1911235615,3758138.000079768
3640836.09591534,3640836.09591534,3640836.09591534
3640836.09591534,3656915.818820325,3758138.000079768
3640836.09591534,3641847.380025537,3653354.17240828
3640836.09591534,3641606.8564864397,3648543.701626342
3640836.09591534,3640836.09591534,3640836.09591534
3640836.09591534,3674140.332664105,3758138.000079768
3640836.09591534,3647786.198040652,3758138.000079768
3640836.09591534,3641921.102832432,3652651.050120122
3640836.09591534,3640836.09591534,3640836.09591534
