Best,Mean,Worst,Diversity
11738.418196984192,12078.196398535589,12774.328587094658,268306.56274665066
11738.058317415414,11900.411358964051,12232.565972427954,129908.0466364231
11737.828031513356,11824.00625994481,12115.414092257819,87470.23569958891
11737.468974047813,11762.38481612602,12049.673300328279,29530.36694405693
11737.468974047813,11741.915221168023,11749.93685669451,3709.8997468429297
11737.468974047813,11740.244499999026,11748.81039729552,2628.525960503208
11737.468974047813,11738.614703294363,11747.538651161336,1075.8545292677045
11737.468974047813,12060.526354570622,12756.441717586233,61637.891352288265
11737.468974047813,11914.36054889776,12341.740807817852,37190.31758945514
11737.468974047813,11836.082321975156,12120.522705765441,21556.73732927014
11737.468974047813,11766.905838334224,11892.874040961318,8397.292341008117
11737.468974047813,11750.790689222882,11890.491764822249,4012.3994611635044
11737.468974047813,11951.52889551802,12591.303863546944,14037.222721974515
11737.468974047813,11907.700379078491,12591.303863546944,11579.046670600279
11737.468974047813,11855.267397393825,12591.303863546944,9654.828598625229
11737.468974047813,11767.583883383364,12002.185325656472,2534.196451761056
11737.468974047813,11739.498967502861,11749.00748592519,130.58295784078837
