Best,Mean,Worst,Diversity
40245.12183225152,41179.963554798574,45802.03806094967,971592.6117810262
40238.49031436477,40584.59209756987,44146.70145963441,334046.09880103194
40234.0387871205,40337.866260031,40673.442311050836,88357.13321491548
40234.0387871205,40295.38733070225,40463.90233457723,53847.87352556732
40234.0387871205,40253.59069400094,40315.649365352365,13846.327348413171
40234.0387871205,40246.21930159664,40278.045001684906,9338.514113385223
40234.0387871205,41203.75507101114,45926.21815457661,251580.25293121065
40234.0387871205,40396.26093227121,40826.16678615344,32363.14063657842
40234.0387871205,40353.99248858213,40598.91528311458,24974.24754935984
40234.0387871205,40316.90050803457,40594.77651711641,17695.779656665356
40234.0387871205,40266.68337943721,40353.8025360085,5916.29893661473
40234.0387871205,41225.564502533045,43980.28663529854,59379.135529230116
40234.0387871205,40773.653364671394,43375.04020412836,32837.73660256322
40234.0387871205,40475.81392954428,40862.40596228463,10606.98184858606
40234.0387871205,40294.7577062223,40458.844133425635,2955.358923686028
40234.0387871205,40252.75685798584,40318.378196939506,1280.514129836898
