Best,Mean,Worst,Diversity
30714.571296729857,31690.073241041577,32675.861969188576,490466.3364939357
30714.571296729857,31398.217365283424,32471.81189505363,411223.38984545093
30714.571296729857,31153.175387924264,32015.37367929397,304943.4053848359
30714.571296729857,30940.084805025246,31721.720909747157,173719.61363116006
30702.970687849946,30851.386778449214,31620.61326637711,125801.00022911432
30702.970687849946,30801.355536235693,31077.79687089548,82716.94176517286
30702.970687849946,30741.212962007743,30960.902102430562,36186.16468131922
30702.970687849946,30724.01828650232,30872.432198307884,18579.012744122516
30702.970687849946,31769.7441110535,32768.573639149705,131863.98263364084
30702.970687849946,31254.812657308976,31975.166635155783,98155.46898828575
30702.970687849946,31119.433619467018,31975.166635155783,86078.44573327238
30702.970687849946,30890.59070150666,31653.9326418807,42143.2435118946
30702.970687849946,30789.60018159853,31050.964256887644,22577.988258791374
30702.970687849946,31890.77862313481,32565.957039850546,33336.00410419752
30702.970687849946,31443.67087304018,32378.301363864404,25149.709842998825
30702.970687849946,30980.86812225572,31593.375629099894,16745.870693049932
30702.970687849946,30837.759439149097,31150.131587431788,7615.65620842842
30702.970687849946,30743.630962199408,30949.531902675706,2804.1528076170325
