Best,Mean,Worst,Diversity
324211.87620186625,324433.9022630643,324984.26739757386,186218.71447053435
324208.0917053196,324357.88664506027,324984.26739757386,150583.50671395694
324203.25053759874,324253.42184317426,324564.3367092147,48640.42365421343
324203.25053759874,324231.7441044381,324368.1640115856,28523.755060954718
324203.25053759874,324213.7086385356,324252.89463287895,8318.49839975877
324203.25053759874,324209.9683959561,324252.89463287895,5159.710141309712
324203.25053759874,324414.5649087552,324943.03294008534,35442.20069705858
324203.25053759874,324354.41017886536,324709.15432059235,27425.340461659536
324203.25053759874,324281.49533821386,324492.59001015726,15145.55461331195
324203.25053759874,324245.7976094541,324384.7856574354,9115.986696497188
324203.25053759874,324225.2530652677,324256.55422133836,4564.043612155074
324203.25053759874,324324.5706932507,324603.9523198661,6492.6299814331
324203.25053759874,324288.8218845194,324411.38619617495,4393.019166529586
324203.25053759874,324232.30778908014,324252.89463287895,1079.5436096964986
324203.25053759874,324221.6195969931,324252.89463287895,1058.8088150650146
324203.25053759874,324207.1730729594,324215.4095677106,225.98025988339214
