Best,Mean,Worst,Diversity
17802596.403073758,18643538.63740673,21597395.481744543,921200958.6305737
17802596.403073758,17978761.601411674,19580323.12102931,253572310.9272256
17802596.403073758,17847208.20073892,19578764.010982703,69444344.43575472
17802596.403073758,17802694.262402024,17803056.554484483,122934.4939979352
17802596.403073758,17802607.906859044,17803056.554484483,17945.90501827374
17802596.403073758,18454726.699510816,20244592.32343203,174702976.217993
17802596.403073758,18151317.1081553,19582607.29996127,111864083.2233622
17802596.403073758,17887154.519950382,19488029.713368222,32074539.900957834
17802596.403073758,17802723.529948723,17803277.987655763,39023.79517418891
17802596.403073758,17802689.111598384,17803063.33690927,29693.85757879913
17802596.403073758,18125260.258511297,19520411.56457002,26013805.13367136
17802596.403073758,17802815.1293008,17803056.554484483,11390.290484908968
17802596.403073758,17802631.06873651,17802943.059701268,3119.909647587687
17802596.403073758,17802631.06873651,17802943.059701268,3119.909647587687
17802596.403073758,17802596.403073758,17802596.403073758,0.0
