||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            7.0 |          172.0 |         1095.2 |          8.166 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            6.2 |          156.0 |         1129.4 |          6.931 |           80.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            6.2 |          158.0 |          904.0 |          5.355 |           80.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            5.6 |          136.0 |         1066.6 |          6.448 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            5.4 |          148.0 |         1088.4 |          6.043 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            3.6 |           86.0 |          757.8 |          5.225 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            3.8 |           92.0 |          882.8 |          7.134 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.4 |           32.0 |          757.4 |          4.955 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            9.0 |          230.0 |         1321.8 |          9.025 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            4.6 |          118.0 |         1249.2 |          8.379 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           10.0 |          236.0 |         1682.4 |          10.75 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            3.6 |           86.0 |          890.4 |           6.76 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            9.2 |          220.0 |         1651.4 |          8.418 |           60.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            9.2 |          218.0 |         1984.0 |          8.589 |           60.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           12.2 |          294.0 |         2288.0 |          11.19 |           40.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           11.4 |          272.0 |         2193.0 |          9.536 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           11.2 |          266.0 |         2351.4 |          10.18 |           20.0 ||
