||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          5.667 |        142.667 |         1006.9 |          6.361 |         93.333 ||
||           wine |    3421827.432 |            5.4 |        132.333 |       1130.667 |          7.834 |         86.667 ||
||  connectionist |        314.774 |           10.5 |        251.333 |       2074.667 |          9.597 |         46.667 ||
||          seeds |        624.257 |          5.433 |        128.333 |       1176.033 |          9.193 |         86.667 ||
||      vertebral |      559533.96 |          3.667 |         89.667 |          842.9 |          5.688 |         86.667 ||
||      computers |     320716.486 |         12.633 |        309.667 |       2909.533 |         36.881 |           20.0 ||
||movement-libras |        381.637 |         22.633 |        692.667 |         4348.6 |        216.148 |            0.0 ||
||       toxicity |4875920508130725.0 |            4.1 |          101.0 |        733.033 |          3.949 |         93.333 ||
||        ECG5000 |      12734.668 |         14.733 |          382.0 |       3687.867 |         99.304 |            0.0 ||
||          ecoli |         15.623 |           16.3 |        445.333 |       3738.067 |         98.127 |          3.333 ||
