Best,Mean,Worst,Diversity
4557524472569764.0,5606211827062790.0,5920493469134803.0,3.454996363423817e+17
4557524472569764.0,5100406737568346.0,5920493469134803.0,4.1355875510198515e+17
4557524472569764.0,4691400602553666.0,5568893499107713.0,1.606547620777544e+17
4557524472569764.0,4602278492849147.0,5057427312796310.0,6.407433517105443e+16
4557524472569764.0,4564110765325780.0,4820976182810543.0,1.0274616699390384e+16
4557524472569764.0,5446385250452874.0,5920493469134803.0,9.545316962812674e+16
4557524472569764.0,5057774608010218.0,5920493469134803.0,9.840377414231293e+16
4557524472569764.0,4808324554796365.0,5920493469134803.0,7.4095580560233e+16
4557524472569764.0,4638845507910053.0,5920493469134803.0,3.037509000882901e+16
4557524472569764.0,4557524472569762.0,4557524472569764.0,0.0
4557524472569764.0,5329018378310476.0,5920493469134803.0,2.6867871224063108e+16
4557524472569764.0,5006434294974813.0,5920493469134803.0,2.604317779683877e+16
4557524472569764.0,4834977398315600.0,5568893499107713.0,1.6864315552480512e+16
4557524472569764.0,4683850211639150.0,5057427312796310.0,9315703994828632.0
4557524472569764.0,4636559985641997.0,4820976182810543.0,5532485915056359.0
