Best,Mean,Worst,Diversity
5308165178846963.0,5313826151807123.0,5316761073082451.0,2105499054426176.0
5308165178846963.0,5311372250137925.0,5316761073082451.0,2723334274777590.0
5308165178846963.0,5309272780571936.0,5315039140792995.0,1331382171867312.0
5308165178846963.0,5308461206136475.0,5310533397163037.0,414438205312950.0
5308165178846963.0,5308283589762770.0,5310533397163037.0,179984592021624.0
5308165178846963.0,5313042269172435.0,5316761073082451.0,649628606452144.0
5308165178846963.0,5310357312996684.0,5315039140792995.0,572384385538176.0
5308165178846963.0,5309207807788975.0,5315039140792995.0,339823144384038.0
5308165178846963.0,5308402000678569.0,5310533397163037.0,85255859378664.0
5308165178846963.0,5308165178846962.0,5308165178846963.0,0.0
5308165178846963.0,5312075803483194.0,5315039140792995.0,162376175386504.0
5308165178846963.0,5310487258562598.0,5315039140792995.0,128929137665104.0
5308165178846963.0,5308638822510177.0,5310533397163037.0,37891493057184.0
5308165178846963.0,5308165178846962.0,5308165178846963.0,0.0
