Best,Mean,Worst,Diversity
553920.2270621223,555213.2621380064,557796.0154654604,1193277.3517299825
553920.2270621223,554292.9141945126,557659.7079204432,368080.49477535207
553920.2270621223,554058.9320605174,555221.6337048062,142686.349786586
553920.2270621223,553960.9362238426,554123.7728707243,52107.72700211406
553920.2270621223,553925.3157073372,554123.7728707243,7938.286535478313
553920.2270621223,555396.3916627071,557796.0154654604,327801.12373416463
553920.2270621223,554721.7858091753,557659.7079204432,208700.58614944655
553920.2270621223,554519.7764030102,557659.7079204432,164745.88047892298
553920.2270621223,554262.8739551409,557659.7079204432,94593.241537328
553920.2270621223,554011.3615312014,554220.9343271055,23038.2100555161
553920.2270621223,554634.810897711,557659.7079204432,40660.22336879233
553920.2270621223,554160.7928741088,554220.9343271055,4811.316239731386
553920.2270621223,554100.6514211122,554220.9343271055,7216.9743595970795
553920.2270621223,553960.9362238427,554123.7728707243,3256.7329376321286
553920.2270621223,553960.9362238427,554123.7728707243,3256.7329376321286
