Best,Mean,Worst,Diversity
2869504.636148614,2870592.8859430742,2872613.92127564,1131779.7862374745
2869504.636148614,2869971.0289176693,2872613.92127564,634294.1659133099
2869504.636148614,2869504.6361486157,2869504.636148614,0.0
2869504.636148614,2871214.742968478,2872613.92127564,307819.22757557686
2869504.636148614,2870281.9574303706,2872613.92127564,233196.38452695217
2869504.636148614,2870126.4931740193,2872613.92127564,198994.24812966585
2869504.636148614,2869504.636148615,2869504.636148614,0.0
2869504.636148614,2870126.4931740193,2872613.92127564,49748.56203241646
2869504.636148614,2869815.564661316,2872613.92127564,27983.56614323426
2869504.636148614,2869504.6361486134,2869504.636148614,0.0
