Best,Mean,Worst,Diversity
13157.082828922817,13529.078164816267,14313.533911750063,270884.35456520045
13157.082828922817,13322.464996144208,13894.96804223062,135087.7678833444
13157.082828922817,13245.227390124104,13475.81271121666,83453.1450301015
13157.082828922817,13178.765673885506,13285.224489886754,25434.107414225742
13157.082828922817,13169.564581131519,13268.25687076626,16287.717234174412
13157.082828922817,13495.81956895727,14121.416960424991,69038.20653972263
13157.082828922817,13281.925149642459,13960.255981936276,32470.999364874082
13157.082828922817,13213.172815227299,13478.702129876187,16504.376519377078
13157.082828922817,13169.199784162436,13260.009955532912,3991.6748836974766
13157.082828922817,13159.185352217715,13165.263312926752,575.6645414162576
13157.082828922817,13565.970954087465,14101.671393199635,18280.061976444616
13157.082828922817,13505.587766160355,14101.671393199635,15882.021433411652
13157.082828922817,13302.605336436605,13508.344746288265,6270.455378238319
13157.082828922817,13255.07766441967,13415.177450107432,4532.681213237633
13157.082828922817,13174.812385142935,13287.699475171463,1347.1649274165084
