Best,Mean,Worst,Diversity
29188.88341065414,30115.78964522147,31120.241854801658,481389.9944771488
29047.87567327598,29743.373861000244,30871.54845005157,437556.92822043307
29047.87567327598,29369.17820615786,30029.461739981234,223733.45308417486
29047.87567327598,29189.007683199656,29570.607814020987,120101.06870053246
29047.87567327598,29104.847882638212,29215.480614685832,52569.589030810865
29047.87567327598,30321.60921079816,31111.543532337862,147828.8349042852
29047.87567327598,29764.50908502266,31111.543532337862,131570.57925075685
29047.87567327598,29243.087926806522,30026.80919381343,56384.3696744387
29047.87567327598,29104.422739558744,29521.81538650696,18357.396591090936
29047.87567327598,29058.172718269307,29188.51657826256,3263.103592497915
29047.87567327598,30013.05042401878,30983.12848487178,25212.321925210203
29047.87567327598,29722.172722242598,30295.407396320887,23545.835576666213
29047.87567327598,29343.862738099142,29866.176993420944,14757.81236323723
29047.87567327598,29191.739049418044,29698.279671819764,10267.888953646932
29047.521568249358,29088.16755235431,29417.922716831312,3499.924732112362
29047.521568249358,29048.532911549264,29050.717248876033,58.30789001845187
29047.521568249358,29047.969696323496,29049.068010892835,23.02849174021685
29047.521568249358,29047.703720656915,29048.2807772451,12.144456361009361
