Best,Mean,Worst,Diversity
316870.9304629665,317298.8976019928,318425.5922569579,396960.6861056035
316870.9304629665,317155.17800945125,318425.5922569579,267910.46905854414
316870.9304629665,316952.27156632213,317134.3556669801,83979.93962098024
316870.9304629665,316905.45426908333,317134.3556669801,41326.91948128387
316870.24213503,316877.3304597471,316916.4012675313,5584.24569254386
316870.24213503,316875.213180733,316916.4012675313,3728.1097322023124
316870.24213503,316872.5394931255,316874.5396886236,1639.1403851895593
316870.24213503,316871.45652718947,316874.3452301848,1353.628670255188
316870.24213503,317271.5836882385,318425.5922569579,74837.73560035252
316870.24213503,317017.08560953545,317178.88156567025,26626.637700934953
316870.24213503,316962.6424796351,317134.3556669801,23117.56724848895
316870.24213503,316939.99080986826,317134.3556669801,19340.27458843513
316870.24213503,316907.4724638651,317123.35649986885,11197.506170757813
316870.24213503,317130.05853646516,318089.0288658446,14588.888774727879
316870.24213503,317078.652895639,318089.0288658446,14821.01946581452
316870.24213503,316955.76358661364,317134.3556669801,5484.764495416079
316870.24213503,316873.71932134836,316874.5396886236,57.430744382494595
316870.24213503,316872.5732231381,316874.5396886236,103.14128624740988
