Best,Mean,Worst,Diversity
17806745.940215793,18925705.27465918,21810863.12754705,1086756137.1003232
17806745.940215793,18573837.83274514,20578833.925666705,829317862.8614424
17806745.940215793,18162313.39585226,20392793.73890293,466116464.0753063
17806745.940215793,17845663.355033264,19357121.81274526,60641499.60369526
17806745.940215793,17845522.679026037,19357121.81274526,60489683.048051864
17806745.940215793,18969161.771709748,21867173.438202046,290687582.4424569
17806745.940215793,18526396.467655636,20567830.261370342,200024569.07040703
17806745.940215793,18208156.77100365,20567830.261370342,132974592.19224682
17806745.940215793,17887739.45595304,19424689.84645841,30764051.12063905
17806745.940215793,17806778.047024164,17807067.008299533,11558.45101466775
17806745.940215793,18619828.635259707,21525901.81154763,61205535.06381325
17806745.940215793,18120613.786986627,19375131.043247584,25099540.877450988
17806745.940215793,17806852.569383476,17807118.552012328,7567.129163272679
17806745.940215793,17806745.940215793,17806745.940215793,0.0
