||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            6.6 |          172.6 |         1172.0 |          8.413 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            6.8 |          168.8 |         1268.0 |           7.62 |           80.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            6.6 |          190.6 |         1041.8 |          5.904 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            6.6 |          174.6 |         1266.4 |          7.487 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            5.8 |          165.8 |         1193.0 |           6.42 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            3.0 |           77.0 |          771.8 |          5.131 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            3.8 |           91.8 |          919.0 |          7.211 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.4 |           33.4 |          768.8 |          4.999 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            9.8 |          253.8 |         1457.4 |          9.485 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            6.0 |          152.0 |         1414.8 |          9.283 |           80.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           10.6 |          262.6 |         1842.8 |         11.321 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            4.0 |          100.0 |          933.4 |          6.906 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            8.6 |          218.6 |         1699.2 |          8.434 |           80.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            8.6 |          212.6 |         1966.2 |          8.384 |           60.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           12.0 |          296.0 |         2372.0 |         11.093 |            0.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           10.8 |          274.8 |         2296.0 |          9.851 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           11.4 |          283.4 |         2455.6 |         10.482 |           40.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |           11.0 |          281.0 |         2260.0 |         10.921 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            4.4 |          110.4 |          994.0 |          8.497 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            7.4 |          189.4 |         1542.6 |         11.851 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            4.0 |          112.0 |         1121.0 |          8.322 |           80.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            7.2 |          187.2 |         1509.0 |         11.421 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            7.2 |          181.2 |         1547.2 |         10.895 |           60.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            2.2 |           56.2 |          772.8 |          6.357 |          100.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            2.2 |           56.2 |          661.6 |          4.176 |          100.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          435.8 |          2.929 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            8.4 |          214.4 |         1507.6 |          9.595 |           60.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            7.4 |          191.4 |         1338.2 |          9.261 |           80.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            1.8 |           49.8 |          695.6 |          4.335 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            2.8 |           74.8 |          743.8 |          5.264 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           12.8 |          324.8 |         3023.2 |         35.699 |            0.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |           13.0 |          333.0 |         2764.4 |          38.05 |           40.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |           12.4 |          318.4 |         2892.4 |         38.559 |           20.0 ||
||      computers |    ml_150_cl_0 |     317175.717 |           13.2 |          347.2 |         3984.6 |         49.365 |           20.0 ||
||      computers |    ml_250_cl_0 |     323038.482 |           13.4 |          349.4 |         3205.8 |         41.007 |            0.0 ||
||      computers |    ml_75_cl_75 |     317314.214 |           12.6 |          316.6 |         3051.8 |         36.332 |           20.0 ||
||movement-libras |    ml_0_cl_100 |        310.859 |           22.8 |          706.8 |         4858.0 |        239.438 |            0.0 ||
||movement-libras |    ml_0_cl_150 |        313.803 |           22.4 |          654.4 |         4574.2 |        245.932 |            0.0 ||
||movement-libras |    ml_100_cl_0 |        416.943 |           22.4 |          670.4 |         4329.8 |        190.062 |           20.0 ||
||movement-libras |    ml_150_cl_0 |        479.947 |           21.4 |          585.4 |         3824.2 |        172.943 |            0.0 ||
||movement-libras |    ml_50_cl_50 |        371.737 |           21.6 |          601.6 |         4401.2 |         206.14 |           20.0 ||
||movement-libras |    ml_75_cl_75 |        396.745 |           24.8 |          816.8 |         4817.0 |        247.958 |            0.0 ||
||       toxicity |    ml_0_cl_100 |5845976810552229.0 |            0.0 |            0.0 |          411.8 |          2.191 |          100.0 ||
||       toxicity |     ml_0_cl_50 |5371181449462844.0 |            0.0 |            0.0 |          414.8 |          1.936 |          100.0 ||
||       toxicity |    ml_100_cl_0 |3752124315694239.0 |            5.2 |          139.2 |          916.6 |          5.053 |           80.0 ||
||       toxicity |    ml_25_cl_25 |5206382849411462.0 |            7.4 |          191.4 |          966.2 |          5.103 |          100.0 ||
||       toxicity |     ml_50_cl_0 |3325353606287723.0 |            7.6 |          191.6 |         1177.8 |          5.962 |          100.0 ||
||       toxicity |    ml_50_cl_50 |5754504017375858.0 |            5.0 |          125.0 |          793.2 |          4.494 |          100.0 ||
||        ECG5000 |    ml_0_cl_150 |      11667.772 |           16.0 |          432.0 |         4265.0 |          110.5 |            0.0 ||
||        ECG5000 |    ml_0_cl_250 |      11768.432 |           15.4 |          431.4 |         4268.6 |         126.23 |            0.0 ||
||        ECG5000 |  ml_125_cl_125 |       12999.66 |           14.2 |          382.2 |         3691.4 |        104.189 |            0.0 ||
||        ECG5000 |    ml_150_cl_0 |      13233.816 |           13.6 |          357.6 |         3489.6 |         82.979 |            0.0 ||
||        ECG5000 |    ml_250_cl_0 |      14067.048 |           15.2 |          423.2 |         3294.2 |         83.617 |            0.0 ||
||        ECG5000 |    ml_75_cl_75 |      12671.577 |           14.4 |          390.4 |         4165.2 |        106.741 |            0.0 ||
||          ecoli |    ml_0_cl_100 |         13.953 |           16.4 |          472.4 |         4391.0 |        111.907 |            0.0 ||
||          ecoli |    ml_0_cl_150 |         14.137 |           15.4 |          431.4 |         4219.2 |        120.775 |            0.0 ||
||          ecoli |    ml_100_cl_0 |         16.748 |           19.6 |          551.6 |         4142.6 |         95.796 |            0.0 ||
||          ecoli |    ml_150_cl_0 |         17.225 |           16.6 |          468.6 |         3178.6 |           78.6 |            0.0 ||
||          ecoli |    ml_50_cl_50 |         15.359 |           16.8 |          488.8 |         4156.4 |        103.688 |            0.0 ||
||          ecoli |    ml_75_cl_75 |         16.315 |           16.6 |          480.6 |         3935.4 |        107.102 |            0.0 ||
||          glass |    ml_0_cl_100 |         77.574 |           14.6 |          398.6 |         2756.6 |         40.975 |            0.0 ||
||          glass |     ml_0_cl_50 |         76.116 |           13.2 |          341.2 |         2659.8 |          33.45 |            0.0 ||
||          glass |    ml_100_cl_0 |        110.487 |           16.2 |          464.2 |         2742.6 |         34.192 |            0.0 ||
||          glass |    ml_25_cl_25 |         84.041 |           17.0 |          473.0 |         3114.6 |           38.4 |            0.0 ||
||          glass |     ml_50_cl_0 |         96.674 |           16.0 |          456.0 |         3058.2 |         35.109 |            0.0 ||
||          glass |    ml_50_cl_50 |         99.392 |           15.6 |          421.6 |         2954.6 |         40.831 |            0.0 ||
