||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |            5.9 |        158.233 |       1118.833 |          6.829 |         96.667 ||
||           wine |    3421827.432 |          5.933 |        148.933 |         1222.7 |          8.201 |         83.333 ||
||  connectionist |        314.774 |           10.4 |        261.067 |       2174.833 |          9.861 |         46.667 ||
||          seeds |        624.257 |            5.4 |          139.4 |       1247.767 |          9.557 |           90.0 ||
||      vertebral |      559533.96 |          3.767 |         97.767 |          897.1 |          5.927 |           90.0 ||
||      computers |     320716.535 |           12.9 |        331.567 |         3153.7 |         39.835 |         16.667 ||
||movement-libras |        381.672 |         22.567 |        672.567 |         4467.4 |        217.079 |          6.667 ||
||       toxicity |4875920508130725.0 |            4.2 |        107.867 |        780.067 |          4.123 |         96.667 ||
||        ECG5000 |      12734.718 |           14.8 |          402.8 |       3862.333 |        102.376 |            0.0 ||
||          ecoli |         15.623 |           16.9 |        482.233 |       4003.867 |        102.978 |            0.0 ||
||          glass |         90.714 |         15.433 |        425.767 |       2881.067 |         37.159 |            0.0 ||
