Best,Mean,Worst,Diversity
5951985136246074.0,5960406001128462.0,5966319753852170.0,3686144248376079.0
5951985136246074.0,5955923922017186.0,5962656614786516.0,3949624038946712.0
5951985136246074.0,5954056413272610.0,5962656614786516.0,2644427630963118.0
5951985136246074.0,5952569652243588.0,5962656614786516.0,882351267758087.0
5951985136246074.0,5952036078316566.0,5954022819065631.0,79469629962723.0
5951985136246074.0,5960456943556218.0,5966319760997600.0,909819521644737.0
5951985136246074.0,5956457495944206.0,5962656614786516.0,1032612671160660.0
5951985136246074.0,5952824362596031.0,5962656614786516.0,294453819148463.0
5951985136246074.0,5952087020387053.0,5954022819065631.0,38715973571583.0
5951985136246074.0,5952087020387053.0,5954022819065631.0,38715973571583.0
5951985136246074.0,5959455171224382.0,5962656614786516.0,224101049349282.0
5951985136246074.0,5955186579808205.0,5962656614786516.0,224101049349282.0
5951985136246074.0,5952392672809985.0,5954022819065631.0,32602925112912.0
5951985136246074.0,5952188904528029.0,5954022819065631.0,18339145376013.0
5951985136246074.0,5951985136246073.0,5951985136246074.0,0.0
