Best,Mean,Worst,Diversity
553920.2270621223,555213.2621380064,557796.0154654604,1193277.3517299825
553920.2270621223,554348.424656869,557659.7079204432,401824.09904266824
553920.2270621223,554068.8433753925,554220.9343271055,113690.08235318761
553920.2270621223,553988.3473415354,554220.9343271055,81934.3678107512
553920.2270621223,553948.099324607,554220.9343271055,39409.81330421835
553920.2270621223,555550.7897576367,557659.7079204432,343402.1450135204
553920.2270621223,554630.0236312104,557659.7079204432,186930.75326632138
553920.2270621223,554283.2285360012,557659.7079204432,92150.6918341039
553920.2270621223,554071.5029841979,554220.9343271055,27701.959961813875
553920.2270621223,553975.9715870919,554220.9343271055,17112.00331639347
553920.2270621223,554804.8800467529,557659.7079204432,50770.7692452803
553920.2270621223,554251.1466662409,555221.6337048062,14303.417920943582
553920.2270621223,554141.3605828326,554220.9343271055,5588.607890781015
553920.2270621223,554060.8645489758,554220.9343271055,7420.5201681990875
553920.2270621223,553991.0069503409,554220.9343271055,5148.915088073001
