Best,Mean,Worst,Diversity
3567055.855116077,3567713.1219182434,3568151.299786352,420650.75338572264
3566609.6242742287,3567428.104979626,3568151.299786352,416144.8628122909
3565526.917817356,3566929.6593365767,3568151.299786352,471716.067347968
3565526.917817356,3566481.1785520017,3568151.299786352,615319.8291816036
3565526.917817356,3566087.4700009404,3567055.855116077,547836.6295128111
3565526.917817356,3565885.197067555,3567055.855116077,413320.99295434076
3565526.917817356,3567264.6923893793,3568151.299786352,183138.4905811865
3565526.917817356,3566869.76127269,3568151.299786352,162644.2821391276
3565526.917817356,3566606.6861651195,3567055.855116077,124041.14508286212
3565526.917817356,3566071.5581105663,3567055.855116077,137407.13299837802
3565526.917817356,3565657.500005135,3567055.855116077,47455.818442528136
3565526.917817356,3567341.1392543144,3568151.299786352,40051.10777509399
3565526.917817356,3567341.1392543144,3568151.299786352,40051.10777509399
3565526.917817356,3566597.1739264606,3567055.855116077,32107.683273134753
3565526.917817356,3566093.8696526596,3567055.855116077,35355.80264375266
3565526.917817356,3565679.811547227,3567055.855116077,13760.435688486323
