Best,Mean,Worst,Diversity
17802596.403073758,18557869.889510833,20891896.027022272,186346574.7693
17802596.403073758,18162489.17742018,19496148.668396827,111361595.19641788
17802596.403073758,17942885.849499855,19496148.668396827,51076573.61523983
17802596.403073758,17887325.428400394,19496148.668396827,32194279.828445036
17802596.403073758,17802613.73590514,17802943.059701268,6586.4759226851165
17802596.403073758,18433073.714562245,20887220.526850875,170621832.9691878
17802596.403073758,17858133.781631988,18912304.00435573,21100043.972595382
17802596.403073758,17858099.115969233,18912304.00435573,21090337.58702511
17802596.403073758,17802613.73590514,17802943.059701268,6586.4759226851165
17802596.403073758,17802596.403073765,17802596.403073758,0.0
17802596.403073758,18380398.411690235,19497077.92961402,150535345.9840715
17802596.403073758,17969593.099541485,19497077.92961402,60161670.40485081
17802596.403073758,17802596.403073765,17802596.403073758,0.0
