||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            6.4 |          128.0 |          915.0 |          6.887 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            7.0 |          140.0 |         1043.2 |          6.459 |           60.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            7.0 |          140.0 |          813.4 |          4.846 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            6.2 |          124.0 |          971.6 |          6.113 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            6.4 |          128.0 |          954.6 |          5.461 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            3.2 |           64.0 |          645.8 |           4.69 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.0 |           80.0 |          761.0 |          6.604 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.4 |           28.0 |          644.2 |           4.48 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |           10.4 |          208.0 |         1164.2 |          8.059 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            5.0 |          100.0 |         1077.2 |          7.741 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           11.0 |          220.0 |         1519.6 |         10.096 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            4.0 |           80.0 |          754.8 |          5.781 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            9.4 |          188.0 |         1384.8 |          7.001 |           60.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            8.2 |          164.0 |         1588.2 |           6.85 |           60.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           12.4 |          248.0 |         1894.8 |          9.329 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           11.0 |          220.0 |         1810.8 |          7.978 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           11.2 |          224.0 |         1906.8 |          8.286 |           20.0 ||
