||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          6.033 |        120.667 |          890.6 |          5.743 |         93.333 ||
||           wine |    3421827.432 |          5.967 |        119.333 |        986.833 |          7.127 |         83.333 ||
||  connectionist |        314.774 |           10.4 |          208.0 |       1712.033 |          7.965 |         43.333 ||
||          seeds |        624.257 |            5.2 |          104.0 |          980.7 |          8.045 |         86.667 ||
||          heart |       3347.196 |         12.933 |        258.667 |       2286.933 |         15.888 |          6.667 ||
||      vertebral |      559533.96 |          3.967 |         79.333 |        726.567 |          5.176 |         86.667 ||
||      computers |     320716.535 |           12.8 |          256.0 |       2460.067 |         32.555 |           20.0 ||
||           gene |   17808477.337 |           11.7 |          234.0 |       1692.867 |        576.222 |           30.0 ||
||movement-libras |        381.474 |           19.9 |          398.0 |       2833.533 |         145.97 |            0.0 ||
||           drug |6.512943182356306e+27 |          0.267 |          5.333 |          395.6 |          4.036 |         96.667 ||
||       toxicity |4875920508130725.0 |          3.667 |         73.333 |        587.033 |          3.148 |         96.667 ||
||        ECG5000 |      12734.666 |         14.433 |        288.667 |         2814.1 |         80.262 |            0.0 ||
||          ecoli |         15.624 |         15.867 |        317.333 |       2886.467 |         79.767 |            0.0 ||
||          glass |         90.727 |         14.633 |        292.667 |         2095.7 |         29.055 |            0.0 ||
||         accent |      29545.485 |         15.133 |        302.667 |         3081.5 |         63.956 |            0.0 ||
