Best,Mean,Worst,Diversity
5120562347357460.0,5120562348422037.0,5120562349293053.0,191623707.0
5120562347357460.0,5120562347938137.0,5120562349293053.0,162589812.0
5120562347357460.0,5120562347744578.0,5120562349293053.0,123877952.0
5120562347357460.0,5120562347357458.0,5120562347357460.0,0.0
5120562347357460.0,5120562348518816.0,5120562349293053.0,185816928.0
5120562347357460.0,5120562348325256.0,5120562349293053.0,193559300.0
5120562347357460.0,5120562347938137.0,5120562349293053.0,162589812.0
5120562347357460.0,5120562347744577.0,5120562349293053.0,123877952.0
5120562347357460.0,5120562347357458.0,5120562347357460.0,0.0
5120562347357460.0,5120562348131696.0,5120562349293053.0,185816928.0
5120562347357460.0,5120562347647798.0,5120562349293053.0,98715243.0
5120562347357460.0,5120562347647798.0,5120562349293053.0,98715243.0
5120562347357460.0,5120562347357458.0,5120562347357460.0,0.0
