Best,Mean,Worst,Diversity
2953019.5584555855,2953398.4347448894,2953708.424436138,68197.73207469843
2953019.5584555855,2953191.774950724,2953708.424436138,51664.94854143821
2953019.5584555855,2953019.558455586,2953019.5584555855,0.0
2953019.5584555855,2953501.764641972,2953708.424436138,57864.74236641079
2953019.5584555855,2953157.331651696,2953708.424436138,44087.4227553606
2953019.5584555855,2953054.0017546136,2953708.424436138,13088.45363049768
2953019.5584555855,2953019.558455586,2953019.5584555855,0.0
2953019.5584555855,2953432.878043917,2953708.424436138,66131.1341330409
2953019.5584555855,2953226.2182497517,2953708.424436138,57864.74236641079
2953019.5584555855,2953019.558455586,2953019.5584555855,0.0
