Best,Mean,Worst,Diversity
29371.379482923578,30053.89435998591,31047.579320479264,117098.96402655491
29051.648341672415,29689.183309017615,31021.585537323044,117322.6792355054
29047.87567327598,29306.295955520665,29983.19296152688,56269.45557621015
29047.87567327598,29143.757241845276,29533.044691992804,24012.035663728217
29047.521568249358,29076.12459436992,29215.480614685832,8390.952404217773
29047.521568249358,29058.94057780112,29215.480614685832,3798.560285706102
29047.521568249358,29049.578171576413,29058.515421905828,456.7007904456077
29047.521568249358,29048.14615321166,29051.250640199825,151.4736465885071
29047.521568249358,29939.30204206805,31165.6515766881,150843.71097031055
29047.521568249358,29453.959598461028,30863.890324811102,96889.69632651053
29047.521568249358,29223.032671192785,29996.925266120008,49935.40529710856
29047.521568249358,29104.186014704108,29439.116604682342,16903.249864960115
29047.521568249358,29078.532412766683,29205.624484506807,9641.487293408285
29047.521568249358,30025.013266952934,31079.57241264738,142025.53323194667
29047.521568249358,29425.082165050553,30057.10565811379,80875.78835764219
29047.521568249358,29192.9244049902,29973.694210959435,44183.44992455111
29047.521568249358,29075.147009439806,29220.34104990571,8671.11306422795
29047.521568249358,29056.79491856356,29214.103459085927,3389.020182640488
