Best,Mean,Worst,Diversity
323354.8984385719,323882.97136266343,324907.75560623617,77153.26127092377
323318.7916827566,323653.6597174668,324095.80874127155,68415.2600873186
323318.7916827566,323511.741903613,324049.2045519293,53035.123843069654
323318.7916827566,323369.13670141564,323993.0094934235,16655.09603220079
323318.7916827566,323330.36866591906,323362.344169601,3282.826396419201
323318.7916827566,323890.8088770773,324095.80874127155,47206.671894756495
323318.7916827566,323579.1832883841,324051.6080109088,62779.25306902791
323318.7916827566,323444.7699811922,324008.51962728583,36519.159037762554
323318.7916827566,323334.6547449199,323362.344169601,3666.087520962814
323318.7916827566,323323.8344430289,323362.344169601,1614.4332772703492
323318.7916827566,323904.6892421963,324101.25353032904,48681.18408976158
323318.7916827566,323827.1957499774,324095.80874127155,60516.72244853526
323318.7916827566,323551.16268121544,324041.9606243374,57940.611517084704
323318.7916827566,323484.2717311585,324041.9606243374,46738.508111236966
323318.7916827566,323373.93321049487,323993.0094934235,17410.114590283367
