Best,Mean,Worst,Diversity
17807929.13392683,18983406.70863582,22149058.64018322,290218734.6359804
17807929.13392683,18372484.795200806,20539898.111669034,168636618.87632957
17807694.307090618,17877124.02213962,19190516.85209378,26307572.23451224
17807694.307090618,17807824.934883647,17808242.714678973,37726.19521288946
17807694.307090618,17807746.611441188,17808242.714678973,18410.64069834724
17807694.307090618,17807706.048432432,17807929.13392683,4461.709888055921
17807694.307090618,18747347.77403512,21477619.085754897,238686688.6550244
17807694.307090618,18351076.965660498,20192371.28594875,160566778.08456174
17807694.307090618,17939324.737848703,19127054.54056794,47322301.83786011
17807694.307090618,17807918.849197082,17808242.714678973,49064.772298339754
17807694.307090618,17807733.468811847,17808242.714678973,14411.800394378603
17807694.307090618,18553323.157120872,20666952.334408768,207848330.56436568
17807694.307090618,18411323.315750744,20551761.80708609,183761249.44726038
17807694.307090618,18011778.334265657,20261555.12540911,74231701.54857421
17807694.307090618,17807894.483898964,17808589.371306486,49803.58693884313
17807694.307090618,17807766.14821849,17808242.714678973,23945.68313214183
