||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            6.4 |          134.4 |          978.2 |          6.971 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            6.2 |          130.2 |         1038.4 |          6.175 |           60.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            6.0 |          126.0 |          821.8 |          4.601 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            7.4 |          155.4 |         1100.4 |          6.444 |           80.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            6.6 |          138.6 |         1028.4 |          5.473 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            3.6 |           75.6 |          692.4 |          4.612 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.0 |           84.0 |          790.2 |          6.157 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.6 |           33.6 |          669.0 |          4.399 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |           10.0 |          210.0 |         1232.8 |          7.834 |           40.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            5.4 |          113.4 |         1105.4 |          7.265 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           11.0 |          231.0 |         1571.4 |          9.617 |           40.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            4.2 |           88.2 |          831.4 |          6.137 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            9.4 |          197.4 |         1475.6 |          7.295 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            8.6 |          180.6 |         1692.4 |           7.24 |           80.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           12.4 |          260.4 |         2044.8 |          9.699 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           11.2 |          235.2 |         1938.2 |          8.245 |           40.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           11.4 |          239.4 |         2053.8 |          8.721 |           20.0 ||
