Best,Mean,Worst,Diversity
5809891768516394.0,5810057681686548.0,5810066413958662.0,3318263403092.0
5809891768516394.0,5810031484870207.0,5810066413958662.0,11177308305152.0
5809891768516394.0,5809952894421189.0,5810066413958662.0,15892735246388.0
5809891768516394.0,5809926697604849.0,5810066413958662.0,11177308305152.0
5809891768516394.0,5809900500788508.0,5810066413958662.0,3318263403092.0
5809891768516394.0,5810005288053868.0,5810066413958662.0,15892735246388.0
5809891768516394.0,5809996555781755.0,5810066413958662.0,16765962457728.0
5809891768516394.0,5809952894421188.0,5810066413958662.0,15892735246388.0
5809891768516394.0,5809935429876962.0,5810066413958662.0,13098408170100.0
5809891768516394.0,5809900500788509.0,5810066413958662.0,3318263403092.0
5809891768516394.0,5810014020325980.0,5810066413958662.0,14670217150512.0
5809891768516394.0,5809996555781754.0,5810066413958662.0,16765962457728.0
5809891768516394.0,5809944162149075.0,5810066413958662.0,14670217150512.0
5809891768516394.0,5809909233060622.0,5810066413958662.0,6287235921648.0
5809891768516394.0,5809900500788509.0,5810066413958662.0,3318263403092.0
