Best,Mean,Worst,Diversity
599141.3791627751,601376.5068932349,610990.4461043782,666470.3766125283
599141.3791627751,600190.0984236666,610990.4461043782,323411.04598004895
599141.3791627751,599767.2075576386,610990.4461043782,235812.28718109522
599141.3791627751,599311.1057860602,601868.4106728102,62493.61398130236
599141.3791627751,599141.3791627752,599141.3791627751,0.0
599141.3791627751,602139.61013995,611674.1140717634,864500.9480253594
599141.3791627751,600477.281922546,611674.1140717634,460582.38138146966
599141.3791627751,599800.5826054218,610990.4461043782,243822.29864907265
599141.3791627751,599327.7933099518,601868.4106728102,66832.37019312347
599141.3791627751,599141.3791627752,599141.3791627751,0.0
599141.3791627751,601023.3816493748,610990.4461043782,554910.7007013088
599141.3791627751,599564.2700288031,601868.4106728102,119199.41446470225
599141.3791627751,599224.8167822333,599475.1296406075,25031.28583742946
599141.3791627751,599191.4417344502,599475.1296406075,17021.274369452032
599141.3791627751,599158.0666866668,599475.1296406075,6341.259078815463
