Best,Mean,Worst,Diversity
4313023.028315447,4464694.17410168,4752561.473252497,37382907.906854436
4302063.477644103,4342818.952654365,4752561.473252497,11400948.763313852
4302063.477644103,4314158.202958556,4372790.364122734,3042234.5061899694
4302063.477644103,4307641.174643675,4314002.244954465,1131206.866139099
4302063.477644103,4306447.2979126405,4313023.028315447,1052116.8644490838
4302063.477644103,4462846.936203444,4752561.473252497,37611876.34870356
4302063.477644103,4365164.214641248,4752561.473252497,18731722.711984072
4302063.477644103,4313100.210794855,4361677.1574630905,2864038.67957851
4302063.477644103,4306545.219576541,4314002.244954465,1087368.6634537205
4302063.477644103,4304255.387778371,4313023.028315447,701411.2429660559
4302063.477644103,4406792.0169737255,4752561.473252497,25053927.86295928
4302063.477644103,4328980.340219126,4372790.364122734,5773858.017400276
4302063.477644103,4315437.289838333,4361677.1574630905,3555594.6013960224
4302063.477644103,4306138.515159725,4314869.274011437,1076462.5280719586
4302063.477644103,4305449.264509408,4314002.244954465,955854.055397585
