||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            1.8 |           56.0 |          249.6 |          1.946 |          100.0 ||
||           iris |     ml_0_cl_50 |           84.0 |            2.6 |           72.0 |          317.0 |          2.105 |          100.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            2.6 |           72.0 |          236.0 |          1.463 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            2.0 |           60.0 |          268.0 |          1.696 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            1.8 |           56.0 |          251.4 |          1.437 |          100.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            1.4 |           48.0 |          189.0 |          1.375 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            2.0 |           60.0 |          246.4 |           2.14 |          100.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            0.4 |           28.0 |          180.4 |          1.226 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            4.4 |          108.0 |          398.6 |          2.872 |          100.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            2.0 |           60.0 |          354.6 |           2.47 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |            4.2 |          104.0 |          469.6 |          3.161 |          100.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            1.8 |           56.0 |          245.6 |          1.959 |          100.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            3.2 |           84.0 |          411.6 |          2.331 |          100.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            3.2 |           84.0 |          556.8 |          2.583 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |            6.4 |          148.0 |          728.2 |          3.774 |          100.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |            6.0 |          140.0 |          678.2 |          3.312 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |            5.8 |          136.0 |          759.2 |          3.599 |          100.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            4.8 |          116.0 |          613.2 |           3.28 |          100.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            1.8 |           56.0 |          248.8 |          2.317 |          100.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            2.4 |           68.0 |          372.6 |          3.057 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            1.8 |           56.0 |          298.8 |          2.331 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            2.8 |           76.0 |          383.2 |          3.124 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            3.0 |           80.0 |          411.0 |          3.098 |          100.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            0.8 |           36.0 |          183.0 |          1.588 |          100.0 ||
||          heart |    ml_0_cl_100 |       3339.144 |            9.4 |          208.0 |         1131.2 |          8.012 |          100.0 ||
||          heart |    ml_0_cl_150 |       3361.286 |            6.8 |          156.0 |          768.4 |          6.241 |          100.0 ||
||          heart |    ml_100_cl_0 |       3335.621 |           11.0 |          240.0 |         1265.6 |          8.722 |          100.0 ||
||          heart |    ml_150_cl_0 |       3353.373 |            8.0 |          180.0 |          995.2 |          7.339 |          100.0 ||
||          heart |    ml_50_cl_50 |       3337.322 |            8.4 |          188.0 |         1005.2 |          7.087 |          100.0 ||
||          heart |    ml_75_cl_75 |       3356.439 |            7.0 |          160.0 |          784.0 |          6.277 |          100.0 ||
