Best,Mean,Worst,Diversity
11684.491484575186,12078.32564475865,12755.611699545232,294272.447943116
11682.258626448693,11869.99853966565,12599.183636545507,188056.43815527402
11682.258626448693,11779.285781562914,12331.393974346684,117243.40855425633
11682.258626448693,11686.981340293763,11697.56389828897,3095.6144323001117
11681.866440534788,11684.840149411566,11697.56389828897,2464.9608336301753
11681.603043329238,11682.917133774532,11693.94384409531,1294.5220297475207
11681.603043329238,11682.301108753094,11693.94384409531,833.9888491263937
11681.603043329238,11681.834053546128,11684.495346482568,268.1500008599669
11681.603043329238,11681.751305958813,11684.495346482568,195.94537730565025
11681.603043329238,12042.507833991907,12622.020039864605,63429.03423106629
11681.603043329238,11818.753933055272,12251.365330602293,35617.6120177356
11681.603043329238,11708.190759696005,12114.787929031276,8700.9675318223
11681.603043329238,11684.586177103924,11691.617270995703,505.9099234510504
11681.603043329238,11683.324784835686,11685.7142523931,305.5078832425643
11681.603043329238,11956.633306325644,12645.895046758662,17645.727074045866
11681.603043329238,11803.08526343438,12052.412843889235,7570.209909198295
11681.603043329238,11767.52820501611,12052.412843889235,5963.937113093014
11681.603043329238,11686.834250966716,11689.867683050394,128.83406028829268
11681.603043329238,11686.113831813953,11689.67023937953,113.05237842669885
