Best,Mean,Worst,Diversity
28697.574242959632,29931.15556899244,30809.371062194947,510434.3146833458
28695.283024520366,29174.575431820653,30554.599951027663,401901.8336950317
28695.283024520366,28884.6283939077,29688.274319200435,209669.71649577463
28695.219057745886,28799.39575584596,29479.78798373811,134873.16377396928
28695.219057745886,28705.88527905519,28800.33197105298,14176.348310084133
28695.219057745886,28698.18823814105,28765.42466939152,4278.66867306154
28695.219057745886,28695.310647761587,28696.29077165194,124.22100710634186
28695.219057745886,29881.02459828769,30613.9061528304,118171.17083457607
28695.219057745886,29299.919641907,30408.80883226617,94787.80427089921
28695.219057745886,29049.016418939475,29614.873715408077,76721.96070217412
28695.219057745886,28804.916715709725,29437.43359725503,36355.87838141199
28695.219057745886,28725.59483844458,29259.248593434313,11321.492919148292
28695.219057745886,29864.543968054786,30560.4208465676,29239.854751381197
28695.219057745886,29145.422431652016,29968.047164498334,23267.56691016715
28695.219057745886,28929.38840564363,29630.45289015604,14141.283156451198
28695.219057745886,28799.196278421547,29250.59328567568,7801.444854395057
28695.219057745886,28703.058925657755,28728.536712904795,578.0044295072112
