Best,Mean,Worst,Diversity
33581.60382492462,34475.04480712986,35674.967960401125,482528.2411650373
33575.09606564038,33883.84433404352,34541.173951641205,251566.1690636067
33575.09606564038,33751.05836482212,34496.656376791085,198123.78431086894
33575.09606564038,33613.80623555319,34225.6964414847,53818.05388828614
33575.09606564038,33580.65294239438,33638.11495220545,7711.625493781903
33575.09606564038,34384.69840085792,35844.66070532169,150128.96580351767
33575.09606564038,33873.90751794515,34207.57604520005,56540.63230024497
33575.09606564038,33793.1203984392,34206.62806582109,50977.85793690513
33575.09606564038,33630.51832728257,34024.701592580146,18634.23006405853
33575.09606564038,33603.1375680131,34024.701592580146,10115.7360072199
33575.09606564038,34193.78762513482,34717.326498224895,16204.028518253464
33575.09606564038,33938.2977631946,34457.968338627994,15946.205190424975
33575.09606564038,33696.42280136859,34133.774448310185,9255.08770330382
33575.09606564038,33680.68703231021,34093.84767070819,8336.187374464243
33575.09606564038,33579.859853441194,33590.97535830975,333.4651460567984
