Best,Mean,Worst,Diversity
317099.6071262934,317126.27598125197,317183.11314895423,22977.336693540274
317099.4682289677,317110.2738840428,317183.11314895423,11197.400424516003
317099.4682289677,317102.70106609317,317127.22034566704,3477.389520078723
317099.4682289677,317100.2070213384,317101.80860912125,766.7319016254041
317099.4682289677,317099.6266134852,317101.7330866983,213.65948791767005
317099.4682289677,317135.8009078616,317218.5196114612,7509.799321347731
317099.4682289677,317113.0921472452,317150.7073257865,3392.8406486290623
317099.4682289677,317106.6018629232,317150.7073257865,2187.1505037130555
317099.4682289677,317099.8186786148,317101.80860912125,118.74833553115604
317099.4682289677,317099.5814718543,317101.7330866983,43.032296881312504
317099.4682289677,317119.0296731554,317183.11314895423,1235.7694738130667
317099.4682289677,317109.42216903577,317150.7073257865,669.8780087374616
317099.4682289677,317104.09955304593,317117.88678790943,310.73234502680134
317099.4682289677,317103.6465814999,317117.88678790943,312.3991129355272
317099.4682289677,317100.6918747864,317105.44756073545,96.78048689011484
