Best,Mean,Worst,Diversity
17808242.714678973,18824200.43889249,21783670.188989203,1006978105.7014978
17808242.714678973,18239235.788146544,20387941.84792838,537848438.0675111
17808242.714678973,18048171.221938048,19600986.492152166,329632636.3831764
17808242.714678973,17925404.907016344,19572636.959410287,174341938.66198045
17808242.714678973,17808242.71467899,17808242.714678973,0.0
17808242.714678973,18645869.095461797,20336989.61873219,185843654.60691652
17808242.714678973,18363024.476322733,20080214.07887772,150818468.14377683
17808242.714678973,18166868.820642777,19285306.061254524,108339937.95990509
17808242.714678973,17946127.49395386,19272907.799965654,49805995.244504124
17808242.714678973,17872859.574026775,19100233.24500745,24553713.238908824
17808242.714678973,19250759.580366455,20479091.66020498,63533859.31105718
17808242.714678973,18249048.800463438,20457650.810059007,36147789.82179737
17808242.714678973,17958143.953162976,19306526.742989484,13489654.750501286
17808242.714678973,17808277.380341724,17808589.371306486,3119.9096476212144
17808242.714678973,17808242.714678973,17808242.714678973,0.0
