||        dataset |  restricciones |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |    ml_0_cl_100 |         84.951 |            6.8 |          170.0 |         1131.2 |          8.432 |          100.0 ||
||           iris |     ml_0_cl_50 |         83.999 |            6.8 |          162.0 |         1221.8 |          7.512 |           80.0 ||
||           iris |    ml_100_cl_0 |         86.688 |            7.2 |          192.0 |         1032.6 |          6.189 |          100.0 ||
||           iris |    ml_25_cl_25 |          82.36 |            6.8 |          172.0 |         1222.6 |           7.47 |          100.0 ||
||           iris |     ml_50_cl_0 |         84.964 |            7.2 |          168.0 |         1205.6 |          6.758 |           80.0 ||
||           iris |    ml_50_cl_50 |         85.577 |            3.2 |           82.0 |          776.8 |           5.35 |          100.0 ||
||           wine |    ml_0_cl_100 |    3109961.404 |            4.0 |           94.0 |          906.8 |          7.351 |           80.0 ||
||           wine |     ml_0_cl_50 |    2761939.542 |            1.2 |           30.0 |          754.2 |          4.956 |          100.0 ||
||           wine |    ml_100_cl_0 |    4201469.548 |            9.8 |          236.0 |         1367.6 |          9.363 |           60.0 ||
||           wine |    ml_25_cl_25 |    3148745.281 |            5.2 |          140.0 |         1353.8 |          9.129 |          100.0 ||
||           wine |     ml_50_cl_0 |    3485077.386 |           10.8 |          262.0 |         1791.0 |         11.536 |           60.0 ||
||           wine |    ml_50_cl_50 |    3823771.429 |            3.4 |           84.0 |          890.8 |          6.789 |           80.0 ||
||  connectionist |    ml_0_cl_100 |         327.37 |            9.2 |          220.0 |         1641.2 |          8.252 |           60.0 ||
||  connectionist |     ml_0_cl_50 |        302.615 |            8.0 |          196.0 |         1882.8 |          8.143 |          100.0 ||
||  connectionist |    ml_100_cl_0 |        327.779 |           12.2 |          288.0 |         2245.0 |         11.051 |           20.0 ||
||  connectionist |    ml_25_cl_25 |        302.198 |           11.2 |          270.0 |         2129.6 |          9.352 |          100.0 ||
||  connectionist |     ml_50_cl_0 |        301.432 |           10.6 |          258.0 |         2281.0 |          9.919 |           60.0 ||
||  connectionist |    ml_50_cl_50 |        327.247 |            9.8 |          246.0 |         2037.0 |         10.083 |           60.0 ||
||          seeds |    ml_0_cl_100 |        628.161 |            4.4 |          106.0 |          936.6 |          8.252 |           80.0 ||
||          seeds |     ml_0_cl_50 |        608.447 |            6.6 |          166.0 |         1392.4 |         10.913 |          100.0 ||
||          seeds |    ml_100_cl_0 |        643.788 |            4.8 |          122.0 |         1160.8 |          8.854 |          100.0 ||
||          seeds |    ml_25_cl_25 |         607.86 |            6.8 |          180.0 |         1427.0 |         11.115 |          100.0 ||
||          seeds |     ml_50_cl_0 |        619.504 |            6.6 |          156.0 |         1442.2 |         10.374 |           80.0 ||
||          seeds |    ml_50_cl_50 |        637.782 |            2.4 |           56.0 |          774.4 |          6.524 |           80.0 ||
||      vertebral |    ml_0_cl_100 |     537228.397 |            2.4 |           56.0 |          641.0 |          4.068 |           80.0 ||
||      vertebral |    ml_0_cl_150 |     565726.405 |            0.0 |            0.0 |          435.8 |          2.927 |          100.0 ||
||      vertebral |    ml_100_cl_0 |     548801.198 |            8.6 |          204.0 |         1362.8 |           8.97 |           80.0 ||
||      vertebral |    ml_150_cl_0 |     588742.883 |            7.0 |          164.0 |         1188.6 |          8.507 |           80.0 ||
||      vertebral |    ml_50_cl_50 |     535161.339 |            1.4 |           42.0 |          649.0 |          4.057 |          100.0 ||
||      vertebral |    ml_75_cl_75 |     581543.538 |            1.8 |           56.0 |          657.2 |          4.713 |          100.0 ||
||      computers |    ml_0_cl_150 |     317640.705 |           12.4 |          296.0 |         2882.6 |          33.62 |           60.0 ||
||      computers |    ml_0_cl_250 |     324718.764 |           12.4 |          296.0 |         2540.2 |          36.06 |           20.0 ||
||      computers |  ml_125_cl_125 |     324411.328 |           11.8 |          286.0 |         2589.4 |         33.678 |           20.0 ||
